state,county,population,wordcount,expected wordcount,relative wordcount
Alabama,Autauga County,58805,1300,1491.2713686312175,-0.12826060545021953
Alabama,Baldwin County,231767,1745,2213.9330507870786,-0.2118099509017978
Alabama,Barbour County,25223,1107,1280.6010494036443,-0.13556216394207046
Alabama,Bibb County,22293,895,1255.571796646434,-0.2871773622261206
Alabama,Blount County,59134,861,1493.4503134948552,-0.4234826614451234
Alabama,Bullock County,10357,1016,1156.9629061980877,-0.121838743008026
Alabama,Butler County,19051,828,1240.8427253506495,-0.3327115652259511
Alabama,Calhoun County,116441,787,1739.6927911641992,-0.5476212788849111
Alabama,Chambers County,34772,881,1322.676269550928,-0.3339262068267732
Alabama,Cherokee County,24971,938,1277.5409037430948,-0.26577693344163505
Alabama,Chilton County,45014,1106,1388.8064110234034,-0.2036327084744698
Alabama,Choctaw County,12665,1021,1197.091197936499,-0.1470992337426241
Alabama,Clarke County,23087,1079,1260.4539500497503,-0.1439592061594859
Alabama,Clay County,14236,1283,1199.5290402977646,0.06958644342742634
Alabama,Cleburne County,15056,1138,1216.325209891542,-0.06439495724874944
Alabama,Coffee County,53465,694,1453.9056644597088,-0.522665041505358
Alabama,Colbert County,57227,745,1470.0385001509776,-0.49321055202058584
Alabama,Conecuh County,11597,938,1175.084307681859,-0.2017594023951913
Alabama,Coosa County,10387,947,1156.3685554992408,-0.18105694287825888
Alabama,Covington County,37570,974,1344.6102986350609,-0.275626550690021
Alabama,Crenshaw County,13194,986,1189.9735321424116,-0.1714101420181847
Alabama,Cullman County,87866,1559,1602.9174498803677,-0.027398447676544698
Alabama,Dale County,49326,1367,1398.3942324218922,-0.022450201591235272
Alabama,Dallas County,38462,1650,1351.8639015729786,0.2205370659576909
Alabama,DeKalb County,71608,818,1520.1235487629765,-0.4618858443014978
Alabama,Elmore County,87977,1165,1602.988291851527,-0.2732323711145949
Alabama,Escambia County,36757,1251,1336.0366107172704,-0.0636484135502973
Alabama,Etowah County,103436,1089,1674.0709062151059,-0.3494899194789116
Alabama,Fayette County,16321,839,1233.410679182381,-0.31977238874227437
Alabama,Franklin County,32113,1089,1302.9182219105066,-0.16418392061232528
Alabama,Geneva County,26659,806,1284.0129636243882,-0.37228048093463106
Alabama,Greene County,7730,1272,1099.10577447782,0.1573044465209195
Alabama,Hale County,14785,1194,1216.3607995791594,-0.01838336091305796
Alabama,Henry County,17146,1651,1240.9218897834817,0.33046246793830797
Alabama,Houston County,107202,1045,1694.4920060951372,-0.3832959988945923
Alabama,Jackson County,52579,1237,1427.6365989838384,-0.1335330007086744
Alabama,Jefferson County,674721,3431,3316.715908199237,0.034457003543246385
Alabama,Lamar County,13972,1210,1195.7201330969242,0.011942482615970373
Alabama,Lauderdale County,93564,1273,1632.5116928498394,-0.22021998030669404
Alabama,Lawrence County,33073,1250,1307.9494406083875,-0.04430556626212748
Alabama,Lee County,174241,1437,1946.3188995655596,-0.26168317004949465
Alabama,Limestone County,103570,1916,1673.7546241289845,0.14473171418246514
Alabama,Lowndes County,10311,2416,1154.187005444892,1.093248311237684
Alabama,Macon County,19532,995,1242.821706009601,-0.19940246039417545
Alabama,Madison County,388153,1606,2702.9496615647863,-0.4058342917602625
Alabama,Marengo County,19323,1372,1244.1270363259555,0.10278127549712888
Alabama,Marion County,29341,1501,1306.862717562249,0.14855216223467166
Alabama,Marshall County,97612,936,1648.6923252931033,-0.4322773354127195
Alabama,Mobile County,414809,1956,2746.352782591809,-0.2877826867697351
Alabama,Monroe County,19772,1317,1241.6257272568973,0.060706113838045035
Alabama,Montgomery County,228954,966,2209.4580436011497,-0.5627887106534339
Alabama,Morgan County,123421,853,1762.3340096659226,-0.5159827845791279
Alabama,Perry County,8511,759,1110.7914969492222,-0.31670344787065263
Alabama,Pickens County,19123,1633,1244.7617473574398,0.3118976410279063
Alabama,Pike County,33009,943,1307.6778077590013,-0.278874356967148
Alabama,Randolph County,21967,1132,1256.45193187785,-0.09905029290841906
Alabama,Russell County,59183,1035,1493.6245769300724,-0.3070547874036114
Alabama,St. Clair County,91103,968,1614.9239418310565,-0.4005909659730178
Alabama,Shelby County,223024,1717,2150.1540970234737,-0.20145258315350634
Alabama,Sumter County,12345,1050,1197.1143164206007,-0.12289078361411292
Alabama,Talladega County,82149,1087,1526.7132626212888,-0.28801299719262513
Alabama,Tallapoosa County,41311,845,1366.089876087707,-0.38144626148613037
Alabama,Tuscaloosa County,227036,3738,2210.5310008037472,0.6909964160832245
Alabama,Walker County,65342,940,1486.1157640533745,-0.3674786159079869
Alabama,Washington County,15388,1983,1215.9161334332055,0.630869058707932
Alabama,Wilcox County,10600,1041,1161.2357906633626,-0.10354123738700585
Alabama,Winston County,23540,1262,1262.7840426648297,-0.0006208842037433113
Alaska,Aleutians East Borough,3420,1079,1022.0754149989464,0.05569509271594436
Alaska,Aleutians West Census Area,5232,479,1047.9224227630302,-0.5429050952674217
Alaska,Anchorage,291247,7585,2416.97073630555,2.1382258320570395
Alaska,Bethel Census Area,18666,512,1238.518068812875,-0.5866027207089888
Alaska,Bristol Bay Borough,844,427,1005.5589482759618,-0.5753605487454568
Alaska,Chugach Census Area,7102,204,1107.6478036205453,-0.815825933719013
Alaska,Copper River Census Area,2617,259,947.9548139137272,-0.7267802260208033
Alaska,Denali Borough,1619,689,947.0224192875106,-0.2724565058149658
Alaska,Dillingham Census Area,4857,427,1057.4945282922642,-0.5962154048309286
Alaska,Fairbanks North Star Borough,95655,552,1638.995136180954,-0.6632082745002995
Alaska,Haines Borough,2080,446,941.8702017290085,-0.5264740309426187
Alaska,Hoonah–Angoon Census Area,2365,578,946.114722651601,-0.3890804295063869
Alaska,Juneau,32255,5679,1303.0535695441215,3.3582245064466694
Alaska,Kenai Peninsula Borough,58799,654,1491.1291275979293,-0.5614061935376895
Alaska,Ketchikan Gateway Borough,13948,517,1195.765694542194,-0.5676410501156445
Alaska,Kodiak Island Borough,13101,546,1189.9282221662227,-0.5411487938272225
Alaska,Kusilvak Census Area,8368,624,1107.304565139994,-0.4364694053969614
Alaska,Lake and Peninsula Borough,1476,553,915.0856601541402,-0.3956849898545556
