state,county,population,Wordcount,expected Wordcount,relative Wordcount
Alabama,Autauga County,58805,1300,1492.1905068383337,-0.12879756703823872
Alabama,Baldwin County,231767,1745,2217.959463505974,-0.21324080592453984
Alabama,Barbour County,25223,1107,1281.501812780478,-0.1361697744319698
Alabama,Bibb County,22293,895,1256.4031153113415,-0.28764901241253643
Alabama,Blount County,59134,861,1494.370366097656,-0.4238376111215429
Alabama,Bullock County,10357,1016,1157.9715561339199,-0.12260366446989032
Alabama,Butler County,19051,828,1241.8858351800543,-0.33327204760335094
Alabama,Calhoun County,116441,787,1741.0266831143424,-0.5479678699741596
Alabama,Chambers County,34772,881,1323.5440554462673,-0.334362920240726
Alabama,Cherokee County,24971,938,1278.446070041416,-0.2662967785808807
Alabama,Chilton County,45014,1106,1389.6699304192875,-0.20412755878922947
Alabama,Choctaw County,12665,1021,1198.040837382822,-0.14777529434603937
Alabama,Clarke County,23087,1079,1261.28378722235,-0.1445224215747533
Alabama,Clay County,14236,1283,1200.5639605976235,0.06866442947474541
Alabama,Cleburne County,15056,1138,1217.3266184926586,-0.06516461341401035
Alabama,Coffee County,53465,694,1454.77208636075,-0.5229493289659506
Alabama,Colbert County,57227,745,1471.0289468709886,-0.4935517743653637
Alabama,Conecuh County,11597,938,1176.2550509230725,-0.2025539025197814
Alabama,Coosa County,10387,947,1157.3730701581349,-0.18176772518941628
Alabama,Covington County,37570,974,1345.3853762777767,-0.2760438628411984
Alabama,Crenshaw County,13194,986,1190.886444773907,-0.17204532444972553
Alabama,Cullman County,87866,1559,1604.3252596633197,-0.02825191424887965
Alabama,Dale County,49326,1367,1399.197140635833,-0.02301115382583023
Alabama,Dallas County,38462,1650,1352.6055746345007,0.21986780990893137
Alabama,DeKalb County,71608,818,1520.8518873809735,-0.4621435481079882
Alabama,Elmore County,87977,1165,1604.3965836238913,-0.2738703062003629
Alabama,Escambia County,36757,1251,1336.819568321655,-0.0641968223351184
Alabama,Etowah County,103436,1089,1675.4159151582203,-0.3500121431655622
Alabama,Fayette County,16321,839,1234.381401453571,-0.3203073223462226
Alabama,Franklin County,32113,1089,1303.817456347892,-0.16476037753752326
Alabama,Geneva County,26659,806,1284.886815231488,-0.3727073930206146
Alabama,Greene County,7730,1272,1100.0562014112998,0.156304558229032
Alabama,Hale County,14785,1194,1217.3856613560306,-0.019209739442783976
Alabama,Henry County,17146,1651,1241.8487435209288,0.32946947735279947
Alabama,Houston County,107202,1045,1695.8066748423187,-0.3837740967158492
Alabama,Jackson County,52579,1237,1428.500947256509,-0.1340572770527692
Alabama,Jefferson County,674721,3431,3318.6312500344097,0.03385996861339299
Alabama,Lamar County,13972,1210,1196.7469651783103,0.011074216360945612
Alabama,Lauderdale County,93564,1273,1633.95148659577,-0.22090710131656877
Alabama,Lawrence County,33073,1250,1308.8257398541664,-0.044945433194736026
Alabama,Lee County,174241,1437,1947.950947382693,-0.262301752551427
Alabama,Limestone County,103570,1925,1675.101232069878,0.14918427802797846
Alabama,Lowndes County,10311,2416,1155.2038122195534,1.0914058406351803
Alabama,Macon County,19532,995,1243.757576113407,-0.20000487304828685
Alabama,Madison County,388153,1606,2708.303852077261,-0.40700892967818114
Alabama,Marengo County,19323,1372,1245.0204916015832,0.10198989434709743
Alabama,Marion County,29341,1501,1307.6878903532663,0.14782740673274206
Alabama,Marshall County,97612,936,1650.105807648653,-0.43276364723922184
Alabama,Mobile County,414809,1956,2751.6850741183657,-0.2891628411995154
Alabama,Monroe County,19772,1317,1242.5387804403722,0.05992667652050084
Alabama,Montgomery County,228954,966,2213.4681977813275,-0.5635808090813
Alabama,Morgan County,123421,853,1763.6264564482947,-0.516337489222164
Alabama,Perry County,8511,759,1111.8065642966994,-0.31732729021965783
Alabama,Pickens County,19123,1633,1245.7961263016364,0.3108083782920774
Alabama,Pike County,33009,943,1308.5552818137814,-0.27935792006210636
Alabama,Randolph County,21967,1132,1257.2929103526458,-0.09965292043005602
Alabama,Russell County,59183,1035,1494.5448850615162,-0.30748148794648017
Alabama,St. Clair County,91103,968,1616.325252559994,-0.4011106375608208
Alabama,Shelby County,223024,1717,2154.259174598466,-0.20297426593528006
Alabama,Sumter County,12345,1050,1198.2457888658441,-0.12371901511639008
Alabama,Talladega County,82149,1087,1528.0410604086526,-0.2886316813310648
Alabama,Tallapoosa County,41311,845,1366.9445389260723,-0.381833003507321
Alabama,Tuscaloosa County,227036,3738,2214.5475669454904,0.6879294244087051
Alabama,Walker County,65342,940,1486.8589998509851,-0.36779479419756145
Alabama,Washington County,15388,1983,1216.8450656344446,0.6296240630816001
Alabama,Wilcox County,10600,1041,1162.1995130030607,-0.10428460143636416
Alabama,Winston County,23540,1262,1263.6015737025284,-0.0012674673218675873
Alaska,Aleutians East Borough,3420,1079,1023.7832947696746,0.053933977544288546
Alaska,Aleutians West Census Area,5232,479,1049.2824071704138,-0.5434975401029423
Alaska,Anchorage,291247,7585,2421.0841968302243,2.132893936497777
Alaska,Bethel Census Area,18666,512,1239.571231042165,-0.5869539505450301
Alaska,Bristol Bay Borough,844,427,1005.9523553271882,-0.5755266164060848
Alaska,Chugach Census Area,7102,181,1108.8393313773067,-0.8367662519914612
Alaska,Copper River Census Area,2617,257,950.9273690758439,-0.7297375085020796
