state,county,population,Discourse,expected Discourse,relative Discourse
Alabama,Autauga County,58805,3302,3319.5510563740177,-0.005287177716491842
Alabama,Baldwin County,231767,5527,4282.822558169965,0.2905040834476382
Alabama,Barbour County,25223,1492,2857.4065010458776,-0.4778481817501664
Alabama,Bibb County,22293,2608,2772.741709386956,-0.05941473337715962
Alabama,Blount County,59134,4955,3322.692447866553,0.4912604996533837
Alabama,Bullock County,10357,3375,2380.1521454615286,0.4179765803776226
Alabama,Butler County,19051,2574,2696.4748902703886,-0.04542037113429507
Alabama,Calhoun County,116441,5355,3809.6998628675046,0.4056225405560875
Alabama,Chambers County,34772,3777,3011.4932004658785,0.25419509478410823
Alabama,Cherokee County,24971,4475,2849.4421011418185,0.5704828668765698
Alabama,Chilton County,45014,3245,3181.493562214561,0.019961202668986034
Alabama,Choctaw County,12665,2743,2459.77908799832,0.11514079186361206
Alabama,Clarke County,23087,3358,2790.9603163703523,0.2031700989453994
Alabama,Clay County,14236,3975,2536.4235077473268,0.5671673077696382
Alabama,Cleburne County,15056,3629,2563.31391750377,0.4157454439033461
Alabama,Coffee County,53465,3112,3270.053715990735,-0.04833367574906916
Alabama,Colbert County,57227,5172,3297.070633660131,0.5686652106262218
Alabama,Conecuh County,11597,1574,2434.6331615877857,-0.3534960318319618
Alabama,Coosa County,10387,1637,2387.054008562441,-0.31421744370758803
Alabama,Covington County,37570,4494,3071.047957760593,0.46334412936912356
Alabama,Crenshaw County,13194,2962,2496.3486400845018,0.18653298358987866
Alabama,Cullman County,87866,6889,3642.3934727414294,0.8913387725832455
Alabama,Dale County,49326,2929,3228.973159715294,-0.0929004810128999
Alabama,Dallas County,38462,3846,3107.3673248084156,0.2377036886802962
Alabama,DeKalb County,71608,5246,3468.2504765691374,0.5125781818357733
Alabama,Elmore County,87977,4682,3643.101282686196,0.2851687715219887
Alabama,Escambia County,36757,4743,3055.127921815483,0.5524718183261909
Alabama,Etowah County,103436,4862,3726.5183178954485,0.3047030995800431
Alabama,Fayette County,16321,2263,2614.399838125087,-0.13440937113012255
Alabama,Franklin County,32113,3360,2972.497075890523,0.13036276040520112
Alabama,Geneva County,26659,4285,2893.496831440602,0.4809070994788691
Alabama,Greene County,7730,4731,2317.064201267616,1.0418079039034702
Alabama,Hale County,14785,2189,2554.062033882889,-0.14293389472921006
Alabama,Henry County,17146,4561,2663.2363863564515,0.7125779834511277
Alabama,Houston County,107202,5458,3741.8057969464976,0.4586540018870043
Alabama,Jackson County,52579,6999,3257.530228775698,1.1485602614439856
Alabama,Jefferson County,674721,7505,4825.9504085191,0.5551340906345944
Alabama,Lamar County,13972,3538,2536.6224137400072,0.394768090369255
Alabama,Lauderdale County,93564,3407,3689.0780594182265,-0.07646302270511204
Alabama,Lawrence County,33073,4296,2983.477179560429,0.43993057142570535
Alabama,Lee County,174241,1063,4083.680444377464,-0.7396955970285162
Alabama,Limestone County,103570,5717,3729.1512878238964,0.5330566015561385
Alabama,Lowndes County,10311,2436,2385.572754649618,0.021138422733951914
Alabama,Macon County,19532,3922,2719.3142343458208,0.4422753907819362
Alabama,Madison County,388153,7577,4589.036431480411,0.6511091409129824
Alabama,Marengo County,19323,2851,2703.681274665543,0.05448819974265687
Alabama,Marion County,29341,6102,2931.967469632475,1.0811963513240792
Alabama,Marshall County,97612,4645,3703.364825372192,0.2542647616504195
Alabama,Mobile County,414809,5576,4618.480122106507,0.20732358970439047
Alabama,Monroe County,19772,4370,2720.113942784038,0.6065503474929078
Alabama,Montgomery County,228954,6525,4281.2912225873915,0.5240729165012574
Alabama,Morgan County,123421,6168,3850.482285488842,0.6018772565829205
